ID,Old_ID,Name,IATA,ICAO,Latitude,Longitude,City,Country,Country_ID,Continent,Continent_ID
1,1,Goroka Airport,GKA,AYGA,-6.081689835,145.3919983,Goroka,Papua New Guinea,1,Oceania,1
2,2,Madang Airport,MAG,AYMD,-5.207079887,145.78900149999998,Madang,Papua New Guinea,1,Oceania,1
3,3,Mount Hagen Kagamuga Airport,HGU,AYMH,-5.826789856,144.2960052,Mount Hagen,Papua New Guinea,1,Oceania,1
4,4,Nadzab Airport,LAE,AYNZ,-6.569803,146.725977,Nadzab,Papua New Guinea,1,Oceania,1
5,5,Port Moresby Jacksons International Airport,POM,AYPY,-9.443380356,147.22000119999998,Port Moresby,Papua New Guinea,1,Oceania,1
6,6,Wewak International Airport,WWK,AYWK,-3.5838301180000003,143.6690063,Wewak,Papua New Guinea,1,Oceania,1
7,7,Narsarsuaq Airport,UAK,BGBW,61.16049957,-45.42599869,Narssarssuaq,Greenland,2,North America,2
8,8,Godthaab / Nuuk Airport,GOH,BGGH,64.19090271,-51.67810059,Godthaab,Greenland,2,North America,2
9,9,Kangerlussuaq Airport,SFJ,BGSF,67.0122219,-50.71160316,Sondrestrom,Greenland,2,North America,2
10,8199,Nightmute Airport,NME,PAGT,60.47100067,-164.701004,Nightmute,United States,3,North America,2
11,8200,Toksook Bay Airport,OOK,PAOO,60.54140091,-165.0870056,Toksook Bay,United States,3,North America,2
12,11,Akureyri Airport,AEY,BIAR,65.66000366,-18.0727005,Akureyri,Iceland,4,Europe,3
13,12,Egilsstaðir Airport,EGS,BIEG,65.28330231,-14.40139961,Egilsstadir,Iceland,4,Europe,3
14,10,Thule Air Base,THU,BGTL,76.53119659,-68.70320129,Thule,Greenland,2,North America,2
15,15,Ísafjörður Airport,IFJ,BIIS,66.05809784,-23.13529968,Isafjordur,Iceland,4,Europe,3
16,16,Keflavik International Airport,KEF,BIKF,63.98500061,-22.60560036,Keflavik,Iceland,4,Europe,3
17,8209,Vinnytsia/Gavyryshivka Airport,VIN,UKWW,49.242531,28.613778000000003,Vinnitsa,Ukraine,5,Europe,3
18,18,Reykjavik Airport,RKV,BIRK,64.12999725,-21.94059944,Reykjavik,Iceland,4,Europe,3
19,21,Sault Ste Marie Airport,YAM,CYAM,46.48500061,-84.50939941,Sault Sainte Marie,Canada,6,North America,2
20,24,St. Anthony Airport,YAY,CYAY,51.39189911,-56.08309937,St. Anthony,Canada,6,North America,2
21,8217,Kegaska Airport,ZKG,CTK6,50.19580078,-61.26580048,Kegaska,Canada,6,North America,2
22,27,Baie Comeau Airport,YBC,CYBC,49.13249969,-68.20439911,Baie Comeau,Canada,6,North America,2
23,28,CFB Bagotville,YBG,CYBG,48.33060074,-70.99639893,Bagotville,Canada,6,North America,2
24,29,Baker Lake Airport,YBK,CYBK,64.29889679,-96.07779694,Baker Lake,Canada,6,North America,2
25,30,Campbell River Airport,YBL,CYBL,49.95080185,-125.2710037,Campbell River,Canada,6,North America,2
26,8223,Trail Airport,YZZ,CAD4,49.05559921,-117.60900120000001,Trail,Canada,6,North America,2
27,31,Brandon Municipal Airport,YBR,CYBR,49.91,-99.951897,Brandon,Canada,6,North America,2
28,33,Nanaimo Airport,YCD,CYCD,49.05497022,-123.86986259999999,Nanaimo,Canada,6,North America,2
29,34,Castlegar/West Kootenay Regional Airport,YCG,CYCG,49.29639816,-117.63200379999999,Castlegar,Canada,6,North America,2
30,32,Cambridge Bay Airport,YCB,CYCB,69.10810089,-105.13800049999999,Cambridge Bay,Canada,6,North America,2
31,8227,Birchwood Airport,\N,PABV,61.41650009,-149.5070038,Belmopan,Belize,7,North America,2
32,36,Charlo Airport,YCL,CYCL,47.990798999999996,-66.330299,Charlo,Canada,6,North America,2
33,37,Kugluktuk Airport,YCO,CYCO,67.816704,-115.143997,Coppermine,Canada,6,North America,2
34,8225,Old Arctic Bay Airport,YAB,CJX7,73.00589225,-85.03254890000001,Arctic Bay,Canada,6,North America,2
35,40,Clyde River Airport,YCY,CYCY,70.48609924,-68.51670074,Clyde River,Canada,6,North America,2
36,41,Coral Harbour Airport,YZS,CYZS,64.19329834,-83.35939789,Coral Harbour,Canada,6,North America,2
37,8235,Sohag International Airport,HMB,HEMK,26.342778000000003,31.742778,Sohag,Egypt,8,Africa,4
38,45,Deer Lake Airport,YDF,CYDF,49.21080017,-57.39139938,Deer Lake,Canada,6,North America,2
39,8237,Patos de Minas Airport,POJ,SNPD,-18.67280006,-46.49119949,Patos de Minas,Brazil,9,South America,5
40,8238,Bauru - Arealva Airport,JTC,SJTC,-22.16685914,-49.05028667,Bauru,Brazil,9,South America,5
41,48,Dawson Creek Airport,YDQ,CYDQ,55.74229813,-120.1829987,Dawson Creek,Canada,6,North America,2
42,49,Edmonton International Airport,YEG,CYEG,53.30970001,-113.58000179999999,Edmonton,Canada,6,North America,2
43,50,Arviat Airport,YEK,CYEK,61.09420013,-94.07080078,Eskimo Point,Canada,6,North America,2
44,8242,Bonito Airport,BYO,SJDB,-21.247298999999998,-56.452498999999996,Bointo,Brazil,9,South America,5
45,8244,Caçador Airport,CFC,SBCD,-26.78840065,-50.93980026,Cacador,Brazil,9,South America,5
46,8239,Ourilândia do Norte Airport,OIA,SDOW,-6.763100147,-51.04990005,Ourilandia do Norte,Brazil,9,South America,5
47,54,Inuvik Mike Zubko Airport,YEV,CYEV,68.30419922,-133.4830017,Inuvik,Canada,6,North America,2
48,55,Iqaluit Airport,YFB,CYFB,63.756402,-68.555801,Iqaluit,Canada,6,North America,2
49,56,Fredericton Airport,YFC,CYFC,45.8689003,-66.53720093,Fredericton,Canada,6,North America,2
50,8240,Redenção Airport,RDC,SNDC,-8.033289909,-49.97990036,Redencao,Brazil,9,South America,5
51,58,Flin Flon Airport,YFO,CYFO,54.67810059,-101.6819992,Flin Flon,Canada,6,North America,2
52,8243,São Félix do Araguaia Airport,SXO,SWFX,-11.63239956,-50.6896019,Sao Felix do Araguaia,Brazil,9,South America,5
53,60,Fort Simpson Airport,YFS,CYFS,61.7602005,-121.23699950000001,Fort Simpson,Canada,6,North America,2
54,61,Kingston Norman Rogers Airport,YGK,CYGK,44.22529984,-76.59690094,Kingston,Canada,6,North America,2
55,62,La Grande Rivière Airport,YGL,CYGL,53.62530136,-77.70420074,La Grande Riviere,Canada,6,North America,2
56,63,Gaspé (Michel-Pouliot) Airport,YGP,CYGP,48.77529907,-64.47859955,Gaspe,Canada,6,North America,2
57,8247,Eirunepé Airport,ERN,SWEI,-6.639530182000001,-69.87979889,Eirunepe,Brazil,9,South America,5
58,65,Îles-de-la-Madeleine Airport,YGR,CYGR,47.42470169,-61.77809906,Iles De La Madeleine,Canada,6,North America,2
59,8256,Senadora Eunice Micheles Airport,OLC,SDCG,-3.467929508,-68.92041206,Sao Paulo de Olivenca,Brazil,9,South America,5
60,67,Dryden Regional Airport,YHD,CYHD,49.83169937,-92.74420166,Dryden,Canada,6,North America,2
61,68,Ulukhaktok Holman Airport,YHI,CYHI,70.76280212,-117.8059998,Holman Island,Canada,6,North America,2
62,69,Gjoa Haven Airport,YHK,CYHK,68.63559723,-95.84970093,Gjoa Haven,Canada,6,North America,2
63,70,John C. Munro Hamilton International Airport,YHM,CYHM,43.17359924,-79.93499756,Hamilton,Canada,6,North America,2
64,71,Montréal / Saint-Hubert Airport,YHU,CYHU,45.51750183,-73.41690063,Montreal,Canada,6,North America,2
65,72,Hay River / Merlyn Carter Airport,YHY,CYHY,60.83969879,-115.78299709999999,Hay River,Canada,6,North America,2
66,73,Halifax / Stanfield International Airport,YHZ,CYHZ,44.88079834,-63.50859833,Halifax,Canada,6,North America,2
67,8266,Gazipaşa Airport,GZP,LTGP,36.299217,32.300598,Alanya,Turkey,10,Europe,3
68,8258,Tapuruquara Airport,IRZ,SWTP,-0.3786,-64.9923,Santa Isabel do Rio Negro,Brazil,9,South America,5
69,8259,Oriximiná Airport,ORX,SNOX,-1.7140799759999998,-55.83620071,Oriximina,Brazil,9,South America,5
70,77,Stephenville Airport,YJT,CYJT,48.54420089999999,-58.54999924,Stephenville,Canada,6,North America,2
71,78,Kamloops Airport,YKA,CYKA,50.70220184,-120.4440002,Kamloops,Canada,6,North America,2
72,79,Waterloo Airport,YKF,CYKF,43.46080017,-80.37860107,Waterloo,Canada,6,North America,2
73,80,Schefferville Airport,YKL,CYKL,54.80530167,-66.80529785,Schefferville,Canada,6,North America,2
74,75,Pond Inlet Airport,YIO,CYIO,72.6832962,-77.96669769,Pond Inlet,Canada,6,North America,2
75,85,Lloydminster Airport,YLL,CYLL,53.30920029,-110.072998,Lloydminster,Canada,6,North America,2
76,87,Kelowna International Airport,YLW,CYLW,49.95610046,-119.37799840000002,Kelowna,Canada,6,North America,2
77,90,Fort McMurray Airport,YMM,CYMM,56.65330124,-111.22200009999999,Fort Mcmurray,Canada,6,North America,2
78,91,Moosonee Airport,YMO,CYMO,51.29109955,-80.60780334,Moosonee,Canada,6,North America,2
79,94,Natashquan Airport,YNA,CYNA,50.18999863,-61.78919983,Natashquan,Canada,6,North America,2
80,99,High Level Airport,YOJ,CYOJ,58.62139893,-117.16500090000001,High Level,Canada,6,North America,2
81,100,Ottawa Macdonald-Cartier International Airport,YOW,CYOW,45.32249832,-75.66919708,Ottawa,Canada,6,North America,2
82,105,Pickle Lake Airport,YPL,CYPL,51.44639969,-90.21420288,Pickle Lake,Canada,6,North America,2
83,106,Port Menier Airport,YPN,CYPN,49.83639908,-64.28859711,Port Menier,Canada,6,North America,2
84,108,Prince Rupert Airport,YPR,CYPR,54.28609848,-130.4450073,Prince Pupert,Canada,6,North America,2
85,109,Fort Chipewyan Airport,YPY,CYPY,58.76720047,-111.11699679999998,Fort Chipewyan,Canada,6,North America,2
86,111,Quebec Jean Lesage International Airport,YQB,CYQB,46.7911,-71.393303,Quebec,Canada,6,North America,2
87,112,Red Deer Regional Airport,YQF,CYQF,52.18220139,-113.8939972,Red Deer Industrial,Canada,6,North America,2
88,113,Windsor Airport,YQG,CYQG,42.27560043,-82.95559692,Windsor,Canada,6,North America,2
89,115,Kenora Airport,YQK,CYQK,49.78829956,-94.36309814,Kenora,Canada,6,North America,2
90,116,Lethbridge County Airport,YQL,CYQL,49.63029861,-112.8000031,Lethbridge,Canada,6,North America,2
91,117,Greater Moncton International Airport,YQM,CYQM,46.11220169,-64.6785965,Moncton,Canada,6,North America,2
92,119,Comox Airport,YQQ,CYQQ,49.71080017,-124.887001,Comox,Canada,6,North America,2
93,120,Regina International Airport,YQR,CYQR,50.43190002,-104.6660004,Regina,Canada,6,North America,2
94,121,Thunder Bay Airport,YQT,CYQT,48.37189865,-89.32389832,Thunder Bay,Canada,6,North America,2
95,122,Grande Prairie Airport,YQU,CYQU,55.17969894,-118.8850021,Grande Prairie,Canada,6,North America,2
