ID,Macro_Comm_ID
1,1
2,1
3,2
4,3
5,3
6,3
7,4
8,4
9,5
10,6
11,7
12,7
13,1
14,1
15,1
16,1
17,1
18,1
19,8
20,8
21,1
22,1
23,3
24,3
25,3
26,2
27,5
28,7
29,8
30,8
31,4
32,4
33,7
34,7
35,1
36,1
37,1
38,1
39,1
40,1
41,4
42,4
43,5
44,2
45,4
46,4
47,5
48,5
49,5
50,5
51,6
52,7
53,8
54,8
55,3
56,2
57,4
58,4
59,5
60,5
61,2
62,2
63,8
64,8
65,1
66,1
67,3
68,3
69,1
70,1
71,1
72,1
73,4
74,4
75,1
76,1
77,2
78,2
79,4
80,4
81,1
82,1
83,2
84,2
85,1
86,1
87,1
88,1
89,1
90,6
91,6
92,5
93,5
94,1
95,1
96,1
97,1
98,3
99,9
100,5
101,6
102,7
103,7
104,4
105,1
106,5
107,5
108,5
109,5
110,2
111,2
112,5
113,5
114,10
115,10
116,1
117,9
118,4
119,1
120,1
121,6
122,6
123,1
124,1
125,8
126,9
127,2
128,2
129,2
130,2
131,5
132,5
133,2
134,2
135,2
136,2
137,7
138,3
139,9
140,9
141,3
142,3
143,5
144,5
145,1
146,1
147,4
148,4
149,1
150,1
151,1
152,1
153,6
154,6
155,3
156,3
157,4
158,4
159,2
160,4
161,7
162,2
163,1
164,1
165,2
166,4
167,2
168,2
169,1
170,2
171,2
172,8
173,8
174,1
175,1
176,6
177,4
178,1
179,1
180,1
181,1
182,7
183,6
184,3
185,7
186,7
187,4
188,2
189,2
190,2
191,2
192,2
193,2
194,5
195,2
196,2
197,10
198,10
199,2
200,1
201,1
202,4
203,4
204,4
205,4
206,1
207,1
208,1
209,1
210,2
211,1
212,7
213,1
214,1
215,1
216,2
217,2
218,2
219,1
220,1
221,4
222,4
223,1
224,1
225,1
226,1
227,4
228,4
229,1
230,1
231,9
232,3
233,2
234,2
235,4
236,4
237,1
238,1
239,5
240,5
241,1
242,1
243,6
244,6
245,7
246,7
247,1
248,1
249,9
250,9
251,4
252,4
253,4
254,4
255,1
256,1
257,4
258,4
259,1
260,4
261,5
262,6
263,1
264,1
265,4
266,4
267,3
268,3
269,10
270,1
271,1
272,1
273,1
274,6
275,1
276,1
277,1
278,1
279,2
280,2
281,9
282,4
283,4
284,4
285,5
286,5
287,7
288,1
289,9
290,2
291,2
292,4
293,1
294,1
295,4
296,4
297,8
298,7
299,6
300,4
301,9
302,9
303,4
304,4
305,1
306,10
307,6
308,6
309,4
310,4
311,2
312,2
313,2
314,4
315,3
316,1
317,2
318,2
319,2
320,2
321,1
322,1
323,5
324,5
325,5
326,4
327,4
328,1
329,10
330,2
331,3
332,10
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,2
342,2
343,5
344,6
345,3
346,3
347,8
348,8
349,4
350,4
351,2
352,2
353,4
354,4
355,3
356,2
357,4
358,8
359,10
360,10
361,9
362,9
363,4
364,2
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,2
373,1
374,1
375,1
376,3
377,1
378,1
379,1
380,1
381,1
382,6
383,5
384,2
385,2
386,1
387,1
388,2
389,4
390,1
391,1
392,4
393,4
394,2
395,2
396,2
397,1
398,6
399,6
400,1
401,1
402,1
403,1
404,4
405,1
406,1
407,1
408,1
409,1
410,4
411,10
412,10
413,3
414,3
415,7
416,1
417,2
418,4
419,1
420,1
421,8
422,8
423,1
424,6
425,1
426,6
427,5
428,2
429,4
430,4
431,4
432,3
433,9
434,3
435,3
436,2
437,4
438,4
439,4
440,1
441,1
442,1
443,1
444,1
445,3
446,2
447,4
448,1
449,4
450,10
451,10
452,4
453,4
454,4
455,1
456,1
457,1
458,1
459,5
460,5
461,3
462,3
463,1
464,1
465,7
466,2
467,4
468,4
469,4
470,4
471,1
472,1
473,5
474,5
475,1
476,1
477,4
478,4
479,3
480,3
481,8
482,2
483,4
484,1
485,1
486,2
487,4
488,4
489,4
490,2
491,5
492,4
493,4
494,6
495,6
496,5
497,5
498,1
499,1
500,7
501,7
502,4
503,4
504,1
505,1
506,1
507,6
508,3
509,3
510,4
511,4
512,2
513,2
514,2
515,2
516,10
517,5
518,2
519,2
520,2
521,2
522,4
523,1
524,1
525,1
526,1
527,4
528,4
529,4
530,4
531,1
532,1
533,1
534,1
535,3
536,3
537,4
538,4
539,4
540,4
541,1
542,1
543,1
544,1
545,1
546,4
547,4
548,5
549,5
550,2
551,2
552,4
553,1
554,1
555,1
556,9
557,8
558,8
559,2
560,2
561,7
562,7
563,4
564,4
565,2
566,3
567,9
568,2
569,6
570,6
571,7
572,7
573,1
574,1
575,8
576,2
577,1
578,5
579,5
580,3
581,2
582,2
583,2
584,1
585,1
586,10
587,1
588,3
589,3
590,7
591,1
592,1
593,1
594,2
595,2
596,2
597,1
598,1
599,3
