ID,Micro_Comm_ID
1,1
2,1
3,2
4,3
5,4
6,3
7,5
8,5
9,6
10,7
11,8
12,8
13,9
14,10
15,9
16,9
17,11
18,11
19,12
20,12
21,11
22,11
23,4
24,13
25,3
26,2
27,6
28,14
29,15
30,16
31,5
32,5
33,8
34,8
35,17
36,17
37,9
38,9
39,18
40,9
41,19
42,20
43,21
44,2
45,20
46,20
47,6
48,22
49,21
50,21
51,7
52,8
53,12
54,12
55,23
56,24
57,19
58,19
59,22
60,6
61,2
62,2
63,25
64,25
65,26
66,26
67,27
68,27
69,26
70,26
71,26
72,28
73,19
74,19
75,29
76,9
77,24
78,24
79,30
80,30
81,11
82,11
83,24
84,31
85,1
86,9
87,17
88,28
89,28
90,32
91,33
92,22
93,22
94,11
95,11
96,18
97,18
98,34
99,35
100,6
101,7
102,8
103,8
104,36
105,9
106,6
107,6
108,6
109,22
110,2
111,2
112,22
113,22
114,37
115,37
116,38
117,39
118,5
119,29
120,11
121,32
122,32
123,9
124,9
125,40
126,41
127,2
128,2
129,42
130,42
131,6
132,6
133,24
134,24
135,31
136,31
137,8
138,43
139,39
140,39
141,44
142,44
143,6
144,6
145,45
146,45
147,46
148,5
149,9
150,9
151,9
152,9
153,32
154,32
155,3
156,3
157,19
158,19
159,24
160,5
161,47
162,2
163,9
164,9
165,24
166,20
167,2
168,2
169,9
170,24
171,24
172,25
173,25
174,45
175,45
176,7
177,46
178,9
179,9
180,10
181,10
182,14
183,7
184,13
185,14
186,14
187,30
188,2
189,2
190,2
191,2
192,2
193,2
194,21
195,24
196,42
197,37
198,37
199,24
200,9
201,9
202,46
203,20
204,20
205,20
206,9
207,9
208,9
209,9
210,2
211,29
212,8
213,1
214,9
215,9
216,24
217,24
218,24
219,9
220,9
221,48
222,36
223,17
224,17
225,9
226,9
227,49
228,48
229,9
230,9
231,50
232,27
233,2
234,31
235,46
236,20
237,1
238,1
239,6
240,6
241,9
242,9
243,32
244,32
245,8
246,8
247,29
248,26
249,35
250,35
251,20
252,5
253,30
254,30
255,9
256,9
257,49
258,49
259,38
260,30
261,22
262,7
263,9
264,9
265,49
266,49
267,27
268,34
269,51
270,17
271,26
272,9
273,17
274,32
275,9
276,9
277,9
278,9
279,2
280,24
281,39
282,19
283,48
284,48
285,22
286,22
287,8
288,1
289,52
290,2
291,24
292,20
293,53
294,9
295,5
296,5
297,54
298,55
299,7
300,5
301,50
302,50
303,46
304,20
305,1
306,51
307,32
308,32
309,5
310,5
311,2
312,2
313,24
314,49
315,4
316,1
317,24
318,24
319,24
320,2
321,26
322,26
323,56
324,22
325,22
326,5
327,5
328,45
329,51
330,24
331,34
332,37
333,29
334,29
335,9
336,9
337,18
338,18
339,9
340,9
341,2
342,24
343,22
344,7
345,4
346,4
347,40
348,40
349,30
350,5
351,24
352,24
353,46
354,46
355,27
356,2
357,49
358,25
359,51
360,57
361,39
362,39
363,5
364,24
365,38
366,38
367,9
368,9
369,9
370,9
371,24
372,24
373,9
374,45
375,17
376,3
377,29
378,9
379,9
380,9
381,11
382,33
383,56
384,2
385,2
386,11
387,29
388,2
389,49
390,9
391,18
392,36
393,48
394,24
395,24
396,24
397,9
398,32
399,32
400,26
401,26
402,9
403,10
404,58
405,38
406,9
407,9
408,9
409,9
410,5
411,37
412,51
413,4
414,4
415,8
416,1
417,24
418,46
419,9
420,9
421,12
422,40
423,38
424,32
425,29
426,33
427,6
428,2
429,20
430,36
431,36
432,4
433,59
434,3
435,3
436,2
437,5
438,5
439,49
440,1
441,1
442,26
443,26
444,17
445,43
446,24
447,20
448,38
449,20
450,51
451,51
452,5
453,5
454,5
455,26
456,9
457,9
458,9
459,6
460,22
461,43
462,43
463,9
464,9
465,47
466,2
467,5
468,5
469,19
470,19
471,9
472,9
473,21
474,6
475,26
476,26
477,19
478,19
479,4
480,4
481,25
482,24
483,5
484,17
485,17
486,24
487,5
488,5
489,58
490,42
491,6
492,49
493,49
494,32
495,32
496,6
497,6
498,9
499,9
500,60
501,60
502,5
503,36
504,17
505,17
506,38
507,33
508,27
509,27
510,58
511,49
512,24
513,24
514,24
515,24
516,57
517,6
518,24
519,24
520,2
521,2
522,49
523,9
524,9
525,45
526,45
527,19
528,19
529,5
530,36
531,9
532,9
533,1
534,1
535,13
536,13
537,46
538,46
539,58
540,5
541,29
542,29
543,1
544,17
545,11
546,20
547,20
548,6
549,6
550,24
551,24
552,20
553,26
554,9
555,17
556,39
557,40
558,25
559,24
560,2
561,55
562,55
563,19
564,19
565,42
566,34
567,52
568,24
569,33
570,33
571,14
572,14
573,9
574,9
575,25
576,2
577,9
578,6
579,22
580,4
581,24
582,24
583,24
584,18
585,18
586,57
587,1
588,61
589,3
590,55
591,38
592,38
593,9
594,2
595,42
596,42
597,9
598,9
599,43
