ID,Micro_Comm
1,Artificial_Intelligence/Vision_and_Pattern_Recognition
2,Artificial_Intelligence/Vision_and_Pattern_Recognition
3,Operating_Systems/Distributed
4,Data_Structures__Algorithms_and_Theory/Randomized
5,Data_Structures__Algorithms_and_Theory/Parallel
6,Data_Structures__Algorithms_and_Theory/Randomized
7,Programming/Compiler_Design
8,Programming/Compiler_Design
9,Networking/Protocols
10,Encryption_and_Compression/Compression
11,Human_Computer_Interaction/Graphics_and_Virtual_Reality
12,Human_Computer_Interaction/Graphics_and_Virtual_Reality
13,Artificial_Intelligence/Machine_Learning
14,Artificial_Intelligence/Knowledge_Representation
15,Artificial_Intelligence/Machine_Learning
16,Artificial_Intelligence/Machine_Learning
17,Artificial_Intelligence/Planning
18,Artificial_Intelligence/Planning
19,Databases/Deductive
20,Databases/Deductive
21,Artificial_Intelligence/Planning
22,Artificial_Intelligence/Planning
23,Data_Structures__Algorithms_and_Theory/Parallel
24,Data_Structures__Algorithms_and_Theory/Sorting
25,Data_Structures__Algorithms_and_Theory/Randomized
26,Operating_Systems/Distributed
27,Networking/Protocols
28,Human_Computer_Interaction/Multimedia
29,Databases/Query_Evaluation
30,Databases/Performance
31,Programming/Compiler_Design
32,Programming/Compiler_Design
33,Human_Computer_Interaction/Graphics_and_Virtual_Reality
34,Human_Computer_Interaction/Graphics_and_Virtual_Reality
35,Artificial_Intelligence/Games_and_Search
36,Artificial_Intelligence/Games_and_Search
37,Artificial_Intelligence/Machine_Learning
38,Artificial_Intelligence/Machine_Learning
39,Artificial_Intelligence/Data_Mining
40,Artificial_Intelligence/Machine_Learning
41,Programming/Logic
42,Programming/Object_Oriented
43,Networking/Wireless
44,Operating_Systems/Distributed
45,Programming/Object_Oriented
46,Programming/Object_Oriented
47,Networking/Protocols
48,Networking/Routing
49,Networking/Wireless
50,Networking/Wireless
51,Encryption_and_Compression/Compression
52,Human_Computer_Interaction/Graphics_and_Virtual_Reality
53,Databases/Deductive
54,Databases/Deductive
55,Data_Structures__Algorithms_and_Theory/Quantum_Computing
56,Operating_Systems/Memory_Management
57,Programming/Logic
58,Programming/Logic
59,Networking/Routing
60,Networking/Protocols
61,Operating_Systems/Distributed
62,Operating_Systems/Distributed
63,Databases/Object_Oriented
64,Databases/Object_Oriented
65,Artificial_Intelligence/Robotics
66,Artificial_Intelligence/Robotics
67,Data_Structures__Algorithms_and_Theory/Logic
68,Data_Structures__Algorithms_and_Theory/Logic
69,Artificial_Intelligence/Robotics
70,Artificial_Intelligence/Robotics
71,Artificial_Intelligence/Robotics
72,Artificial_Intelligence/Speech
73,Programming/Logic
74,Programming/Logic
75,Artificial_Intelligence/Agents
76,Artificial_Intelligence/Machine_Learning
77,Operating_Systems/Memory_Management
78,Operating_Systems/Memory_Management
79,Programming/Debugging
80,Programming/Debugging
81,Artificial_Intelligence/Planning
82,Artificial_Intelligence/Planning
83,Operating_Systems/Memory_Management
84,Operating_Systems/Fault_Tolerance
85,Artificial_Intelligence/Vision_and_Pattern_Recognition
86,Artificial_Intelligence/Machine_Learning
87,Artificial_Intelligence/Games_and_Search
88,Artificial_Intelligence/Speech
89,Artificial_Intelligence/Speech
90,Encryption_and_Compression/Encryption
91,Encryption_and_Compression/Security
92,Networking/Routing
93,Networking/Routing
94,Artificial_Intelligence/Planning
95,Artificial_Intelligence/Planning
96,Artificial_Intelligence/Data_Mining
97,Artificial_Intelligence/Data_Mining
98,Data_Structures__Algorithms_and_Theory/Formal_Languages
99,Hardware_and_Architecture/Logic_Design
100,Networking/Protocols
101,Encryption_and_Compression/Compression
102,Human_Computer_Interaction/Graphics_and_Virtual_Reality
103,Human_Computer_Interaction/Graphics_and_Virtual_Reality
104,Programming/Functional
105,Artificial_Intelligence/Machine_Learning
106,Networking/Protocols
107,Networking/Protocols
108,Networking/Protocols
109,Networking/Routing
110,Operating_Systems/Distributed
111,Operating_Systems/Distributed
112,Networking/Routing
113,Networking/Routing
114,Information_Retrieval/Filtering
115,Information_Retrieval/Filtering
116,Artificial_Intelligence/Theorem_Proving
117,Hardware_and_Architecture/VLSI
118,Programming/Compiler_Design
119,Artificial_Intelligence/Agents
120,Artificial_Intelligence/Planning
121,Encryption_and_Compression/Encryption
122,Encryption_and_Compression/Encryption
123,Artificial_Intelligence/Machine_Learning
124,Artificial_Intelligence/Machine_Learning
125,Databases/Relational
126,Hardware_and_Architecture/Microprogramming
127,Operating_Systems/Distributed
128,Operating_Systems/Distributed
129,Operating_Systems/Realtime
130,Operating_Systems/Realtime
131,Networking/Protocols
132,Networking/Protocols
133,Operating_Systems/Memory_Management
134,Operating_Systems/Memory_Management
135,Operating_Systems/Fault_Tolerance
136,Operating_Systems/Fault_Tolerance
137,Human_Computer_Interaction/Graphics_and_Virtual_Reality
138,Data_Structures__Algorithms_and_Theory/Computational_Complexity
139,Hardware_and_Architecture/VLSI
140,Hardware_and_Architecture/VLSI
141,Data_Structures__Algorithms_and_Theory/Computational_Geometry
142,Data_Structures__Algorithms_and_Theory/Computational_Geometry
143,Networking/Protocols
144,Networking/Protocols
145,Artificial_Intelligence/NLP
146,Artificial_Intelligence/NLP
147,Programming/Software_Development
148,Programming/Compiler_Design
149,Artificial_Intelligence/Machine_Learning
150,Artificial_Intelligence/Machine_Learning
151,Artificial_Intelligence/Machine_Learning
152,Artificial_Intelligence/Machine_Learning
153,Encryption_and_Compression/Encryption
154,Encryption_and_Compression/Encryption
155,Data_Structures__Algorithms_and_Theory/Randomized
156,Data_Structures__Algorithms_and_Theory/Randomized
157,Programming/Logic
158,Programming/Logic
159,Operating_Systems/Memory_Management
160,Programming/Compiler_Design
161,Human_Computer_Interaction/Cooperative
162,Operating_Systems/Distributed
163,Artificial_Intelligence/Machine_Learning
164,Artificial_Intelligence/Machine_Learning
165,Operating_Systems/Memory_Management
166,Programming/Object_Oriented
167,Operating_Systems/Distributed
168,Operating_Systems/Distributed
169,Artificial_Intelligence/Machine_Learning
170,Operating_Systems/Memory_Management
171,Operating_Systems/Memory_Management
172,Databases/Object_Oriented
173,Databases/Object_Oriented
174,Artificial_Intelligence/NLP
175,Artificial_Intelligence/NLP
176,Encryption_and_Compression/Compression
177,Programming/Software_Development
178,Artificial_Intelligence/Machine_Learning
179,Artificial_Intelligence/Machine_Learning
180,Artificial_Intelligence/Knowledge_Representation
181,Artificial_Intelligence/Knowledge_Representation
182,Human_Computer_Interaction/Multimedia
183,Encryption_and_Compression/Compression
184,Data_Structures__Algorithms_and_Theory/Sorting
185,Human_Computer_Interaction/Multimedia
186,Human_Computer_Interaction/Multimedia
187,Programming/Debugging
188,Operating_Systems/Distributed
189,Operating_Systems/Distributed
190,Operating_Systems/Distributed
191,Operating_Systems/Distributed
192,Operating_Systems/Distributed
193,Operating_Systems/Distributed
194,Networking/Wireless
195,Operating_Systems/Memory_Management
196,Operating_Systems/Realtime
197,Information_Retrieval/Filtering
198,Information_Retrieval/Filtering
199,Operating_Systems/Memory_Management
200,Artificial_Intelligence/Machine_Learning
201,Artificial_Intelligence/Machine_Learning
202,Programming/Software_Development
203,Programming/Object_Oriented
204,Programming/Object_Oriented
205,Programming/Object_Oriented
206,Artificial_Intelligence/Machine_Learning
207,Artificial_Intelligence/Machine_Learning
208,Artificial_Intelligence/Machine_Learning
209,Artificial_Intelligence/Machine_Learning
210,Operating_Systems/Distributed
211,Artificial_Intelligence/Agents
212,Human_Computer_Interaction/Graphics_and_Virtual_Reality
213,Artificial_Intelligence/Vision_and_Pattern_Recognition
214,Artificial_Intelligence/Machine_Learning
215,Artificial_Intelligence/Machine_Learning
216,Operating_Systems/Memory_Management
217,Operating_Systems/Memory_Management
218,Operating_Systems/Memory_Management
219,Artificial_Intelligence/Machine_Learning
220,Artificial_Intelligence/Machine_Learning
221,Programming/Semantics
222,Programming/Functional
223,Artificial_Intelligence/Games_and_Search
224,Artificial_Intelligence/Games_and_Search
225,Artificial_Intelligence/Machine_Learning
226,Artificial_Intelligence/Machine_Learning
227,Programming/Garbage_Collection
228,Programming/Semantics
229,Artificial_Intelligence/Machine_Learning
230,Artificial_Intelligence/Machine_Learning
231,Hardware_and_Architecture/Input_Output_and_Storage
232,Data_Structures__Algorithms_and_Theory/Logic
233,Operating_Systems/Distributed
234,Operating_Systems/Fault_Tolerance
235,Programming/Software_Development
236,Programming/Object_Oriented
237,Artificial_Intelligence/Vision_and_Pattern_Recognition
238,Artificial_Intelligence/Vision_and_Pattern_Recognition
239,Networking/Protocols
240,Networking/Protocols
241,Artificial_Intelligence/Machine_Learning
242,Artificial_Intelligence/Machine_Learning
243,Encryption_and_Compression/Encryption
244,Encryption_and_Compression/Encryption
245,Human_Computer_Interaction/Graphics_and_Virtual_Reality
246,Human_Computer_Interaction/Graphics_and_Virtual_Reality
247,Artificial_Intelligence/Agents
248,Artificial_Intelligence/Robotics
249,Hardware_and_Architecture/Logic_Design
250,Hardware_and_Architecture/Logic_Design
251,Programming/Object_Oriented
