ID	Macro_Comm
1	{'Subfields_of_physics'}
2	{'Subfields_of_physics'}
3	{'Subfields_of_physics'}
4	{'Subfields_of_physics'}
5	{'Subfields_of_physics'}
6	{'Subfields_of_physics'}
7	{'Branches_of_biology'}
8	{'Subfields_of_physics'}
9	{'Subfields_of_physics'}
10	{'Subfields_of_physics'}
11	{'Subfields_of_physics'}
12	{'Subfields_of_physics'}
13	{'Subfields_of_physics'}
14	{'Subfields_of_physics'}
15	{'Subfields_of_physics'}
16	{'Subfields_of_physics'}
17	{'Subfields_of_physics'}
18	{'Subfields_of_physics'}
19	{'Subfields_of_physics'}
20	{'Subfields_of_physics'}
21	{'Subfields_of_physics'}
22	{'Subfields_of_physics'}
23	{'Subfields_of_physics'}
24	{'Subfields_of_physics'}
25	{'Subfields_of_physics'}
26	{'Branches_of_biology', 'Subfields_of_physics'}
27	{'Subfields_of_physics'}
28	{'Subfields_of_physics'}
29	{'Subfields_of_physics'}
30	{'Subfields_of_physics'}
31	{'Subfields_of_physics'}
32	{'Subfields_of_physics'}
33	{'Branches_of_biology', 'Subfields_of_physics'}
34	{'Branches_of_biology'}
35	{'Subfields_of_physics'}
36	{'Subfields_of_physics'}
37	{'Subfields_of_physics'}
38	{'Subfields_of_physics'}
39	{'Subfields_of_physics'}
40	{'Subfields_of_physics'}
41	{'Subfields_of_physics'}
42	{'Subfields_of_physics'}
43	{'Subfields_of_physics'}
44	{'Subfields_of_physics'}
45	{'Subfields_of_physics'}
46	{'Subfields_of_physics'}
47	{'Branches_of_biology', 'Subfields_of_physics'}
48	{'Subfields_of_physics'}
49	{'Subfields_of_physics'}
50	{'Subfields_of_physics'}
51	{'Subfields_of_physics'}
52	{'Subfields_of_physics'}
53	{'Subfields_of_physics'}
54	{'Subfields_of_physics'}
55	{'Subfields_of_physics'}
56	{'Branches_of_biology'}
57	{'Subfields_of_physics'}
58	{'Subfields_of_physics'}
59	{'Subfields_of_physics'}
60	{'Subfields_of_physics'}
61	{'Subfields_of_physics'}
62	{'Subfields_of_physics'}
63	{'Subfields_of_physics'}
64	{'Subfields_of_physics'}
65	{'Subfields_of_physics'}
66	{'Subfields_of_physics'}
67	{'Subfields_of_physics'}
68	{'Subfields_of_physics'}
69	{'Branches_of_biology'}
70	{'Subfields_of_physics'}
71	{'Subfields_of_physics'}
72	{'Subfields_of_physics'}
73	{'Subfields_of_physics'}
74	{'Subfields_of_physics'}
75	{'Subfields_of_physics'}
76	{'Subfields_of_physics'}
77	{'Subfields_of_physics'}
78	{'Subfields_of_physics'}
79	{'Fields_of_mathematics'}
80	{'Subfields_of_physics'}
81	{'Subfields_of_physics'}
82	{'Subfields_of_physics'}
83	{'Subfields_of_physics'}
84	{'Subfields_of_physics'}
85	{'Branches_of_biology'}
86	{'Subfields_of_physics'}
87	{'Subfields_of_physics'}
88	{'Subfields_of_physics'}
89	{'Subfields_of_physics'}
90	{'Subfields_of_physics'}
91	{'Branches_of_biology'}
92	{'Subfields_of_physics'}
93	{'Branches_of_biology'}
94	{'Branches_of_biology'}
95	{'Branches_of_biology'}
96	{'Branches_of_biology'}
97	{'Branches_of_biology'}
98	{'Branches_of_biology'}
99	{'Branches_of_biology'}
100	{'Branches_of_biology'}
101	{'Branches_of_biology'}
102	{'Branches_of_biology'}
103	{'Fields_of_mathematics'}
104	{'Branches_of_biology'}
105	{'Branches_of_biology'}
106	{'Branches_of_biology'}
107	{'Branches_of_biology'}
108	{'Branches_of_biology'}
109	{'Branches_of_biology'}
110	{'Branches_of_biology'}
111	{'Branches_of_biology'}
112	{'Branches_of_biology'}
113	{'Subfields_of_physics'}
114	{'Branches_of_biology'}
115	{'Subfields_of_physics'}
116	{'Branches_of_biology'}
117	{'Branches_of_biology'}
118	{'Branches_of_biology'}
119	{'Branches_of_biology'}
120	{'Branches_of_biology'}
121	{'Branches_of_biology'}
122	{'Branches_of_biology'}
123	{'Branches_of_biology'}
124	{'Branches_of_biology'}
125	{'Branches_of_biology'}
126	{'Branches_of_biology'}
127	{'Branches_of_biology'}
128	{'Branches_of_biology'}
129	{'Branches_of_biology'}
130	{'Branches_of_biology'}
131	{'Branches_of_biology'}
132	{'Branches_of_biology'}
133	{'Branches_of_biology'}
134	{'Branches_of_biology'}
135	{'Branches_of_biology'}
136	{'Branches_of_biology'}
137	{'Branches_of_biology'}
138	{'Branches_of_biology'}
139	{'Branches_of_biology'}
140	{'Branches_of_biology'}
141	{'Branches_of_biology'}
142	{'Branches_of_biology'}
143	{'Branches_of_biology'}
144	{'Branches_of_biology'}
145	{'Branches_of_biology'}
146	{'Branches_of_biology'}
147	{'Branches_of_biology'}
148	{'Branches_of_biology'}
149	{'Branches_of_biology'}
150	{'Branches_of_biology'}
151	{'Branches_of_biology'}
152	{'Branches_of_biology'}
153	{'Branches_of_biology'}
154	{'Branches_of_biology'}
155	{'Branches_of_biology'}
156	{'Branches_of_biology'}
157	{'Branches_of_biology'}
158	{'Branches_of_biology'}
159	{'Branches_of_biology'}
160	{'Branches_of_biology'}
161	{'Branches_of_biology'}
162	{'Branches_of_biology'}
163	{'Branches_of_biology'}
164	{'Branches_of_biology'}
165	{'Branches_of_biology'}
166	{'Branches_of_biology'}
167	{'Branches_of_biology'}
168	{'Branches_of_biology'}
169	{'Subfields_of_physics'}
170	{'Branches_of_biology'}
171	{'Branches_of_biology'}
172	{'Branches_of_biology'}
173	{'Branches_of_biology'}
174	{'Branches_of_biology'}
175	{'Branches_of_biology'}
176	{'Branches_of_biology'}
177	{'Branches_of_biology'}
178	{'Branches_of_biology'}
179	{'Branches_of_biology'}
180	{'Branches_of_biology'}
181	{'Branches_of_biology'}
182	{'Branches_of_biology'}
183	{'Branches_of_biology'}
184	{'Branches_of_biology'}
185	{'Branches_of_biology'}
186	{'Branches_of_biology'}
187	{'Branches_of_biology'}
188	{'Branches_of_biology'}
189	{'Branches_of_biology'}
190	{'Branches_of_biology'}
191	{'Subfields_of_physics'}
192	{'Branches_of_biology'}
193	{'Branches_of_biology'}
194	{'Branches_of_biology'}
195	{'Branches_of_biology'}
196	{'Branches_of_biology'}
197	{'Branches_of_biology'}
198	{'Branches_of_biology'}
199	{'Branches_of_biology'}
200	{'Branches_of_biology'}
201	{'Branches_of_biology'}
202	{'Branches_of_biology'}
203	{'Branches_of_biology'}
204	{'Branches_of_biology'}
205	{'Branches_of_biology'}
206	{'Branches_of_biology'}
207	{'Branches_of_biology'}
208	{'Branches_of_biology'}
209	{'Branches_of_biology'}
210	{'Branches_of_biology'}
211	{'Branches_of_biology'}
212	{'Branches_of_biology', 'Fields_of_mathematics', 'Areas_of_computer_science'}
213	{'Branches_of_biology'}
214	{'Branches_of_biology'}
215	{'Branches_of_biology'}
216	{'Branches_of_biology'}
217	{'Branches_of_biology'}
218	{'Branches_of_biology'}
219	{'Branches_of_biology'}
220	{'Branches_of_biology'}
221	{'Branches_of_biology'}
222	{'Branches_of_biology'}
223	{'Branches_of_biology'}
224	{'Branches_of_biology'}
225	{'Branches_of_biology'}
226	{'Branches_of_biology'}
227	{'Branches_of_biology'}
228	{'Branches_of_biology'}
229	{'Branches_of_biology'}
230	{'Fields_of_mathematics'}
231	{'Branches_of_biology'}
232	{'Branches_of_biology'}
233	{'Branches_of_biology'}
234	{'Branches_of_biology'}
235	{'Branches_of_biology'}
236	{'Branches_of_biology'}
237	{'Branches_of_biology'}
238	{'Branches_of_biology'}
239	{'Branches_of_biology'}
240	{'Branches_of_biology'}
241	{'Branches_of_biology'}
242	{'Branches_of_biology'}
243	{'Branches_of_biology'}
244	{'Branches_of_biology'}
245	{'Branches_of_biology'}
246	{'Branches_of_biology'}
247	{'Branches_of_biology'}
248	{'Branches_of_biology'}
249	{'Branches_of_biology'}
250	{'Branches_of_biology'}
251	{'Branches_of_biology'}
252	{'Areas_of_computer_science'}
253	{'Branches_of_biology', 'Subfields_of_physics'}
254	{'Branches_of_biology'}
255	{'Branches_of_biology'}
256	{'Branches_of_biology'}
257	{'Branches_of_biology'}
258	{'Branches_of_biology'}
259	{'Branches_of_biology'}
260	{'Branches_of_biology'}
261	{'Branches_of_biology'}
262	{'Branches_of_biology'}
263	{'Branches_of_biology'}
264	{'Branches_of_biology'}
265	{'Branches_of_biology'}
266	{'Areas_of_computer_science'}
267	{'Fields_of_mathematics', 'Areas_of_computer_science'}
268	{'Areas_of_computer_science'}
269	{'Areas_of_computer_science'}
270	{'Areas_of_computer_science'}
271	{'Areas_of_computer_science'}
272	{'Areas_of_computer_science'}
273	{'Areas_of_computer_science'}
274	{'Areas_of_computer_science'}
275	{'Areas_of_computer_science'}
276	{'Areas_of_computer_science'}
277	{'Areas_of_computer_science'}
278	{'Fields_of_mathematics'}
279	{'Branches_of_biology'}
280	{'Areas_of_computer_science'}
281	{'Fields_of_mathematics'}
282	{'Areas_of_computer_science'}
283	{'Areas_of_computer_science'}
284	{'Subfields_of_physics'}
285	{'Branches_of_biology'}
286	{'Areas_of_computer_science'}
287	{'Areas_of_computer_science'}
288	{'Fields_of_mathematics'}
289	{'Areas_of_computer_science'}
290	{'Fields_of_mathematics'}
291	{'Areas_of_computer_science'}
292	{'Fields_of_mathematics', 'Areas_of_computer_science'}
293	{'Areas_of_computer_science'}
294	{'Fields_of_mathematics'}
295	{'Areas_of_computer_science'}
296	{'Fields_of_mathematics'}
297	{'Branches_of_biology'}
298	{'Fields_of_mathematics', 'Areas_of_computer_science'}
299	{'Areas_of_computer_science'}
300	{'Areas_of_computer_science'}
301	{'Areas_of_computer_science'}
302	{'Areas_of_computer_science'}
303	{'Fields_of_mathematics'}
304	{'Areas_of_computer_science'}
305	{'Branches_of_biology'}
306	{'Branches_of_biology'}
307	{'Areas_of_computer_science'}
308	{'Fields_of_mathematics'}
309	{'Fields_of_mathematics'}
310	{'Areas_of_computer_science'}
311	{'Areas_of_computer_science'}
312	{'Fields_of_mathematics', 'Areas_of_computer_science'}
313	{'Areas_of_computer_science'}
314	{'Areas_of_computer_science'}
315	{'Branches_of_biology'}
316	{'Subfields_of_physics'}
317	{'Areas_of_computer_science'}
318	{'Areas_of_computer_science'}
319	{'Areas_of_computer_science'}
320	{'Areas_of_computer_science'}
321	{'Areas_of_computer_science'}
322	{'Fields_of_mathematics'}
323	{'Areas_of_computer_science'}
324	{'Areas_of_computer_science'}
325	{'Areas_of_computer_science'}
326	{'Areas_of_computer_science'}
327	{'Areas_of_computer_science'}
328	{'Fields_of_mathematics'}
329	{'Areas_of_computer_science'}
330	{'Areas_of_computer_science'}
331	{'Areas_of_computer_science'}
332	{'Areas_of_computer_science'}
333	{'Areas_of_computer_science'}
334	{'Branches_of_biology'}
335	{'Areas_of_computer_science'}
336	{'Fields_of_mathematics', 'Areas_of_computer_science'}
337	{'Fields_of_mathematics'}
338	{'Fields_of_mathematics'}
339	{'Areas_of_computer_science'}
340	{'Fields_of_mathematics'}
341	{'Areas_of_computer_science'}
342	{'Areas_of_computer_science'}
343	{'Subfields_of_physics'}
344	{'Fields_of_mathematics', 'Areas_of_computer_science'}
345	{'Areas_of_computer_science'}
346	{'Areas_of_computer_science'}
347	{'Areas_of_computer_science'}
348	{'Fields_of_mathematics'}
349	{'Areas_of_computer_science'}
350	{'Fields_of_mathematics'}
351	{'Fields_of_mathematics'}
352	{'Subfields_of_physics'}
353	{'Branches_of_biology', 'Areas_of_computer_science'}
354	{'Fields_of_mathematics'}
355	{'Areas_of_computer_science'}
356	{'Areas_of_computer_science'}
357	{'Areas_of_computer_science'}
358	{'Areas_of_computer_science'}
359	{'Fields_of_mathematics'}
360	{'Areas_of_computer_science'}
361	{'Areas_of_computer_science'}
362	{'Areas_of_computer_science'}
363	{'Areas_of_computer_science'}
364	{'Fields_of_mathematics'}
365	{'Fields_of_mathematics'}
366	{'Areas_of_computer_science'}
367	{'Areas_of_computer_science'}
368	{'Fields_of_mathematics'}
369	{'Areas_of_computer_science'}
370	{'Areas_of_computer_science'}
371	{'Fields_of_mathematics'}
372	{'Areas_of_computer_science'}
373	{'Fields_of_mathematics'}
374	{'Fields_of_mathematics'}
375	{'Branches_of_biology'}
376	{'Areas_of_computer_science'}
377	{'Fields_of_mathematics', 'Areas_of_computer_science'}
378	{'Fields_of_mathematics'}
379	{'Areas_of_computer_science'}
380	{'Branches_of_biology'}
381	{'Areas_of_computer_science'}
382	{'Fields_of_mathematics', 'Areas_of_computer_science'}
383	{'Areas_of_computer_science'}
384	{'Areas_of_computer_science'}
385	{'Fields_of_mathematics'}
386	{'Areas_of_computer_science'}
387	{'Areas_of_computer_science'}
388	{'Fields_of_mathematics'}
389	{'Fields_of_mathematics'}
390	{'Fields_of_mathematics'}
391	{'Subfields_of_physics'}
392	{'Fields_of_mathematics'}
