ID	Micro_Comm
1	{'Nuclear_physics'}
2	{'Nuclear_physics'}
3	{'Nuclear_physics'}
4	{'Nuclear_physics'}
5	{'Nuclear_physics'}
6	{'Particle_physics'}
7	{'Radiobiology'}
8	{'Nuclear_physics'}
9	{'Nuclear_physics'}
10	{'Particle_physics', 'Nuclear_physics'}
11	{'Nuclear_physics'}
12	{'Nuclear_physics'}
13	{'Nuclear_physics'}
14	{'Nuclear_physics'}
15	{'Nuclear_physics'}
16	{'Nuclear_physics'}
17	{'Particle_physics', 'Nuclear_physics'}
18	{'Nuclear_physics'}
19	{'Nuclear_physics'}
20	{'Nuclear_physics'}
21	{'Nuclear_physics'}
22	{'Nuclear_physics'}
23	{'Nuclear_physics'}
24	{'Particle_physics', 'Nuclear_physics'}
25	{'Nuclear_physics'}
26	{'Nuclear_physics', 'Radiobiology'}
27	{'Nuclear_physics'}
28	{'Nuclear_physics'}
29	{'Nuclear_physics'}
30	{'Condensed_matter_physics'}
31	{'Nuclear_physics'}
32	{'Applied_and_interdisciplinary_physics'}
33	{'Nuclear_physics', 'Radiobiology'}
34	{'Radiobiology'}
35	{'Nuclear_physics'}
36	{'Nuclear_physics'}
37	{'Nuclear_physics'}
38	{'Nuclear_physics'}
39	{'Nuclear_physics'}
40	{'Particle_physics', 'Nuclear_physics'}
41	{'Plasma_physics'}
42	{'Nuclear_physics'}
43	{'Nuclear_physics'}
44	{'Nuclear_physics'}
45	{'Nuclear_physics'}
46	{'Nuclear_physics'}
47	{'Nuclear_physics', 'Radiobiology'}
48	{'Nuclear_physics'}
49	{'Nuclear_physics'}
50	{'Nuclear_physics'}
51	{'Nuclear_physics'}
52	{'Nuclear_physics'}
53	{'Nuclear_physics'}
54	{'Plasma_physics'}
55	{'Nuclear_physics'}
56	{'Radiobiology'}
57	{'Nuclear_physics'}
58	{'Nuclear_physics'}
59	{'Nuclear_physics'}
60	{'Nuclear_physics'}
61	{'Electromagnetism'}
62	{'Particle_physics'}
63	{'Nuclear_physics'}
64	{'Nuclear_physics'}
65	{'Nuclear_physics', 'Electromagnetism'}
66	{'Nuclear_physics'}
67	{'Particle_physics'}
68	{'Particle_physics', 'Nuclear_physics'}
69	{'Biochemistry'}
70	{'Nuclear_physics'}
71	{'Nuclear_physics'}
72	{'Nuclear_physics'}
73	{'Nuclear_physics'}
74	{'Particle_physics', 'Nuclear_physics'}
75	{'Nuclear_physics'}
76	{'Particle_physics', 'Nuclear_physics'}
77	{'Nuclear_physics'}
78	{'Nuclear_physics'}
79	{'Elementary_mathematics'}
80	{'Nuclear_physics'}
81	{'Nuclear_physics'}
82	{'Nuclear_physics'}
83	{'Nuclear_physics'}
84	{'Surface_science'}
85	{'Radiobiology'}
86	{'Nuclear_physics'}
87	{'Nuclear_physics'}
88	{'Nuclear_physics'}
89	{'Nuclear_physics'}
90	{'Condensed_matter_physics'}
91	{'Radiobiology'}
92	{'Nuclear_physics'}
93	{'Biophysics'}
94	{'Morphology_(biology)', 'Anatomy'}
95	{'Anatomy'}
96	{'Human_biology'}
97	{'Anatomy'}
98	{'Zoology'}
99	{'Physiology'}
